Question,Topic
How did the Bubonic Plague affect the development of botanical science and pharmacology?,Bubonic Plague
What were the implications of the Bubonic Plague on public gatherings and festivals?,Bubonic Plague
How did the Bubonic Plague influence the development of medical instruments and tools?,Bubonic Plague
What role did art and literature play in memorializing the victims of the Bubonic Plague?,Bubonic Plague
What year did the French Revolution begin?,French Revolution
Who was the king of France at the start of the French Revolution?,French Revolution
What document proclaiming freedom was adopted in 1789?,French Revolution
What prison was stormed on July 14 1789?,French Revolution
Who led the Reign of Terror?,French Revolution
What device was used for executions during the Revolution?,French Revolution
What was the name of the radical and ruthless political group during the Revolution?,French Revolution
Which estate represented the common people of France?,French Revolution
What governing body replaced the National Assembly in 1791?,French Revolution
Who was the famous queen executed during the Revolution?,French Revolution
When was the first French Republic established?,French Revolution
What was the name of the committee that controlled the government during the Reign of Terror?,French Revolution
What large palace did Louis XVI and Marie Antoinette live in before the Revolution?,French Revolution
Which country did France go to war with in 1792?,French Revolution
What economic crisis contributed to the Revolution?,French Revolution
"Who was known as the ""Incorruptible""?",French Revolution
What revolutionary leader was assassinated in his bath?,French Revolution
What group of women marched to Versailles in October 1789?,French Revolution
What was the primary symbol of the Revolution?,French Revolution
What assembly was formed by the Third Estate in 1789?,French Revolution
"Who wrote ""What is the Third Estate?""",French Revolution
What was the rural peasant revolt in 1789 called?,French Revolution
What term refers to the middle class in France?,French Revolution
Who was the finance minister who proposed taxing the nobility?,French Revolution
What social class comprised the clergy?,French Revolution
What was the Parisian working-class called?,French Revolution
What period of intense violence was led by the Committee of Public Safety?,French Revolution
What revolutionary government body was created after the monarchy was abolished?,French Revolution
Who was the leader of the radical Jacobins?,French Revolution
What was the legislative body before the Revolution?,French Revolution
What day in July is celebrated as the French National Day?,French Revolution
What type of government was established by the Constitution of 1791?,French Revolution
What was the new calendar introduced during the Revolution called?,French Revolution
What fortress and prison in Paris was stormed?,French Revolution
What was the French term for the old regime?,French Revolution
What was the legislative body after the National Assembly?,French Revolution
What was the law of maximum price controls during the Revolution?,French Revolution
What famous French painter depicted the Revolution?,French Revolution
What event marked the end of the Reign of Terror?,French Revolution
What was the national anthem of France called?,French Revolution
What group made up the First Estate?,French Revolution
What was the revolutionary war cry?,French Revolution
What was the period following the fall of Robespierre called?,French Revolution
What political faction was more moderate than the Jacobins?,French Revolution
What estate did the nobility belong to?,French Revolution
What form of government was established in France in 1792?,French Revolution
What was the king's personal guard called?,French Revolution
What legislative body replaced the National Convention?,French Revolution
What general became Emperor of France in 1804?,French Revolution
What was the revolutionary tribunal for political offenders?,French Revolution
What was the group of five men who held executive power under the Directory?,French Revolution
What city was the center of the Revolution?,French Revolution
What radical leader was known for his newspaper L'Ami du Peuple?,French Revolution
What was the oath taken by the Third Estate in 1789?,French Revolution
What was the French revolutionary cry of fraternity and equality?,French Revolution
What social class was most affected by bread prices?,French Revolution
What was the execution device used during the Revolution?,French Revolution
What term referred to extreme revolutionaries in Paris?,French Revolution
What king attempted to flee France in 1791?,French Revolution
What estate represented the commoners?,French Revolution
What was the women’s march to Versailles for?,French Revolution
What was the name of the revolutionary currency?,French Revolution
What day marks the beginning of the French Republic?,French Revolution
What was the name of the agreement that ended the Revolution?,French Revolution
Who was the Austrian princess who became the queen of France?,French Revolution
What political club was most radical?,French Revolution
What palace did the royal family move to in Paris?,French Revolution
What was the French term for the middle class?,French Revolution
What was the legal document that proclaimed equal rights?,French Revolution
What is the French word for citizen?,French Revolution
What famous French heroine was executed in 1793?,French Revolution
What was the body of water Marat was assassinated in?,French Revolution
Where did Louis XVI try to escape to?,French Revolution
What year did the Reign of Terror end?,French Revolution
What political system was abolished in 1792?,French Revolution
"What famous French slogan starts with ""Liberty""?",French Revolution
What was the French term for the national guard?,French Revolution
What was the revolutionary assembly called in 1792?,French Revolution
What was the 1793-1794 period of extreme violence?,French Revolution
What was the prison used for political prisoners?,French Revolution
What was the revolutionary motto?,French Revolution
"Who was known as the ""Friend of the People""?",French Revolution
What year did the French Revolution end?,French Revolution
What document was a statement of revolutionary ideals?,French Revolution
What term referred to the emigration of nobles?,French Revolution
Who was the famous revolutionary artist?,French Revolution
What was the radical phase of the Revolution called?,French Revolution
What were the laws governing the revolutionary state?,French Revolution
What revolutionary tribunal sentenced many to death?,French Revolution
What group was formed to draft a new constitution in 1789?,French Revolution
Who was the leader of the Girondins?,French Revolution
What year did the Directory come to power?,French Revolution
What year was Louis XVI executed?,French Revolution
What was the legislative body formed in 1792?,French Revolution
What was the main weapon used during the Reign of Terror?,French Revolution
What was the term for rural conservative revolutionaries?,French Revolution
What was the document that outlined individual rights?,French Revolution
What was the title of the French king before the Revolution?,French Revolution
What was the name of the event where women marched to Versailles?,French Revolution
What was the national symbol of the Revolution?,French Revolution
What was the revolutionary army called?,French Revolution
What was the term for revolutionary clubs?,French Revolution
What was the revolutionary tribunal for political offenders?,French Revolution
What was the radical political faction?,French Revolution
What was the law that allowed for the arrest of suspects?,French Revolution
Who was the king's wife?,French Revolution
What year was the monarchy abolished?,French Revolution
What was the legislative assembly's lower house?,French Revolution
What famous revolutionary was assassinated in 1793?,French Revolution
What was the executive power under the Directory?,French Revolution
What was the revolutionary body that replaced the monarchy?,French Revolution
What was the title given to the head of the Directory?,French Revolution
Who was the famous leader of the Jacobins?,French Revolution
What political body succeeded the National Assembly?,French Revolution
What was the term of the French queen before the Revolution?,French Revolution
What was the name of the revolutionary tribunal during the Reign of Terror?,French Revolution
What was the legislative body after the National Convention?,French Revolution
What was the radical phase of the Revolution called?,French Revolution
"Who was the famous author of ""The Rights of Man"" during the Revolution?",French Revolution
What was the main form of execution during the Reign of Terror?,French Revolution
What was the term for the supporters of the monarchy?,French Revolution
"Who was the French revolutionary leader known as ""The Mountain""?",French Revolution
What was the French term for the national guard during the Revolution?,French Revolution
What was the name of the government body that replaced the monarchy?,French Revolution
"Who was the French revolutionary leader known as ""The Incorruptible""?",French Revolution
What was the main reason for the economic crisis in France before the Revolution?,French Revolution
What was the French revolutionary motto that symbolized the ideals of the Revolution?,French Revolution
Who was the famous French philosopher who influenced revolutionary thought?,French Revolution
What was the French term for the working-class revolutionaries?,French Revolution
What was the name of the radical newspaper edited by Jean-Paul Marat?,French Revolution
What was the revolutionary currency used during the Revolution?,French Revolution
Who was the leader of the Girondins during the Revolution?,French Revolution
What was the title given to the head of the revolutionary government during the Reign of Terror?,French Revolution
What was the name of the legislative body formed after the fall of Robespierre?,French Revolution
Who was the French revolutionary leader known for his fiery speeches?,French Revolution
What was the term for the period of political instability before the rise of Napoleon?,French Revolution
What was the French term for the law that allowed for the arrest of suspects without charge?,French Revolution
Who was the famous French military leader who rose to prominence during the Revolution?,French Revolution
What was the revolutionary slogan that called for liberty and fraternity?,French Revolution
What was the name of the legislative body that replaced the National Convention?,French Revolution
"Who was the French revolutionary leader known as ""The Friend of the People""?",French Revolution
What was the main weapon used by revolutionaries during the Storming of the Bastille?,French Revolution
What was the term for the conservative revolutionaries who opposed radical change?,French Revolution
Who was the French queen known for her extravagant lifestyle before the Revolution?,French Revolution
What was the name of the document that outlined the rights of citizens during the Revolution?,French Revolution
What was the title of the French king who was executed during the Revolution?,French Revolution
What was the term for the mass execution of political enemies during the Reign of Terror?,French Revolution
Who was the famous female revolutionary who led the Women's March on Versailles?,French Revolution
What was the name of the French national anthem adopted during the Revolution?,French Revolution
"Who was the French revolutionary leader known as ""The Incorruptible""?",French Revolution
